Winner,yBinary,title_bout,titleBoutBinary,no_of_rounds,weightClass,weight_class_Bantamweight,weight_class_Catch Weight,weight_class_Featherweight,weight_class_Flyweight,weight_class_Heavyweight,weight_class_Light Heavyweight,weight_class_Lightweight,weight_class_Middleweight,weight_class_Open Weight,weight_class_Welterweight,B_current_lose_streak,B_current_win_streak,B_avg_BODY_att,B_avg_BODY_landed,B_avg_CLINCH_att,B_avg_CLINCH_landed,B_avg_DISTANCE_att,B_avg_DISTANCE_landed,B_avg_GROUND_att,B_avg_GROUND_landed,B_avg_HEAD_att,B_avg_HEAD_landed,B_avg_KD,B_avg_LEG_att,B_avg_LEG_landed,B_avg_PASS,B_avg_REV,B_avg_SIG_STR_att,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_att,B_avg_TD_landed,B_avg_TD_pct,B_avg_TOTAL_STR_att,B_avg_TOTAL_STR_landed,B_longest_win_streak,B_losses,B_avg_opp_BODY_att,B_avg_opp_BODY_landed,B_avg_opp_CLINCH_att,B_avg_opp_CLINCH_landed,B_avg_opp_DISTANCE_att,B_avg_opp_DISTANCE_landed,B_avg_opp_GROUND_att,B_avg_opp_GROUND_landed,B_avg_opp_HEAD_att,B_avg_opp_HEAD_landed,B_avg_opp_KD,B_avg_opp_LEG_att,B_avg_opp_LEG_landed,B_avg_opp_PASS,B_avg_opp_REV,B_avg_opp_SIG_STR_att,B_avg_opp_SIG_STR_landed,B_avg_opp_SIG_STR_pct,B_avg_opp_SUB_ATT,B_avg_opp_TD_att,B_avg_opp_TD_landed,B_avg_opp_TD_pct,B_avg_opp_TOTAL_STR_att,B_avg_opp_TOTAL_STR_landed,B_total_rounds_fought,B_total_time_fought(seconds),B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_wins,B_Height_cms,B-R_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_avg_BODY_att,R_avg_BODY_landed,R_avg_CLINCH_att,R_avg_CLINCH_landed,R_avg_DISTANCE_att,R_avg_DISTANCE_landed,R_avg_GROUND_att,R_avg_GROUND_landed,R_avg_HEAD_att,R_avg_HEAD_landed,R_avg_KD,R_avg_LEG_att,R_avg_LEG_landed,R_avg_PASS,R_avg_REV,R_avg_SIG_STR_att,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_att,R_avg_TD_landed,R_avg_TD_pct,R_avg_TOTAL_STR_att,R_avg_TOTAL_STR_landed,R_longest_win_streak,R_losses,R_avg_opp_BODY_att,R_avg_opp_BODY_landed,R_avg_opp_CLINCH_att,R_avg_opp_CLINCH_landed,R_avg_opp_DISTANCE_att,R_avg_opp_DISTANCE_landed,R_avg_opp_GROUND_att,R_avg_opp_GROUND_landed,R_avg_opp_HEAD_att,R_avg_opp_HEAD_landed,R_avg_opp_KD,R_avg_opp_LEG_att,R_avg_opp_LEG_landed,R_avg_opp_PASS,R_avg_opp_REV,R_avg_opp_SIG_STR_att,R_avg_opp_SIG_STR_landed,R_avg_opp_SIG_STR_pct,R_avg_opp_SUB_ATT,R_avg_opp_TD_att,R_avg_opp_TD_landed,R_avg_opp_TD_pct,R_avg_opp_TOTAL_STR_att,R_avg_opp_TOTAL_STR_landed,R_total_rounds_fought,R_total_time_fought(seconds),R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_wins,R_Height_cms,R_Weight_lbs,B_age,R_age,B_Stance_Open Stance,B_Stance_Orthodox,B_Stance_Sideways,B_Stance_Southpaw,B_Stance_Switch,R_Stance_Open Stance,R_Stance_Orthodox,R_Stance_Southpaw,R_Stance_Switch
Red,0,FALSE,0,2,middleweight,0,0,0,0,0,0,0,1,0,0,0,3,2.333333333,2.333333333,8,5.666666667,9.666666667,4.666666667,12,7.666666667,24,12.66666667,0,3.333333333,3,1.666666667,0,29.66666667,18,0.423333333,0.333333333,0.666666667,0.333333333,0.333333333,49.66666667,36.33333333,3,0,0.666666667,0.666666667,3.333333333,1.333333333,9.666666667,1.666666667,2.666666667,2.666666667,13.33333333,4.333333333,0.333333333,1.666666667,0.666666667,0,0,15.66666667,5.666666667,0.396666667,0.333333333,1,0.333333333,0.333333333,26.66666667,16.33333333,4,384.3333333,1,0,0,1,1,1,3,185.42,-2.54,200,0,1,1.333333333,1,4,2.333333333,15,4.666666667,20.66666667,14,38.33333333,20,0,0,0,1.666666667,0,39.66666667,21,0.536666667,0,3,2.666666667,0.95,54.66666667,35.33333333,1,1,0,0,1.333333333,0.333333333,8.333333333,2.333333333,0.333333333,0.333333333,7.333333333,1.666666667,0,2.666666667,1.333333333,0,0,10,3,0.12,0.333333333,0.333333333,0,0,20,13,4,340.6666667,1,0,0,0,1,0,2,190.5,205,31,24,0,1,0,0,0,0,1,0,0
Red,0,FALSE,0,2,middleweight,0,0,0,0,0,0,0,1,0,0,0,1,9,6,36,21,52,20,10,5,47,13,0,42,27,2,0,98,46,0.46,0,2,2,1,117,61,1,0,0,0,12,3,25,5,1,1,37,8,0,1,1,0,0,38,9,0.23,0,1,1,1,40,11,1,720,0,0,0,1,0,0,1,187.96,5.08,205,2,0,2.5,2,2.5,1.5,6.5,2,6,5,10,5,0,2.5,1.5,3,0,15,8.5,0.58,0,5,2.5,0.25,35.5,28,0,2,9,7.5,9,6.5,7,3,6,5,9.5,4.5,0,3.5,2.5,0,1,22,14.5,0.635,2,0.5,0.5,0.5,77.5,69,3,597.5,1,0,0,0,0,0,0,185.42,185,29,23,0,1,0,0,0,0,1,0,0
Red,0,FALSE,0,2,middleweight,0,0,0,0,0,0,0,1,0,0,0,4,1.166666667,1.166666667,1.5,1.5,4.833333333,1.5,4,2.5,6.5,2.833333333,0,2.666666667,1.5,1,0.333333333,10.33333333,5.5,0.421666667,0.833333333,1,0.5,0.5,47.16666667,40,4,1,1.166666667,1.166666667,1.166666667,0.833333333,2.333333333,1.166666667,4.166666667,3.333333333,6,3.833333333,0,0.5,0.333333333,1,0.166666667,7.666666667,5.333333333,0.438333333,0.5,1.833333333,1,0.471666667,15,12.33333333,6,420,1,0,0,1,0,4,5,180.34,-7.62,199,1,0,0.5,0.5,0,0,8,1,13.5,12,21,12.5,0,0,0,0.5,0,21.5,13,0.565,0,1,1,1,32,23.5,1,1,0,0,0,0,2.5,0,0,0,2.5,0,0,0,0,0,0,2.5,0,0,0.5,0.5,0,0,2.5,0,2,75.5,1,0,0,0,1,0,1,190.5,205,24,23,0,1,0,0,0,0,1,0,0
Red,0,TRUE,1,2,middleweight,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,2,0,1,1,1,3,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,52,0,0,0,0,0,1,1,175.26,-12.7,170,0,1,10,9,25,18,16,3,13,10,43,21,1,1,1,0,0,54,31,0.57,1,1,1,1,77,53,1,0,4,4,6,6,42,29,1,1,27,16,1,18,16,0,0,49,36,0.73,0,0,0,0,56,43,2,900,0,0,0,1,0,0,1,180.34,185,21,27,0,1,0,0,0,0,1,0,0
Red,0,FALSE,0,2,middleweight,0,0,0,0,0,0,0,1,0,0,1,0,0.666666667,0.333333333,0.333333333,0,1.666666667,0.666666667,2.333333333,1.666666667,3.333333333,2,0,0.333333333,0,0.666666667,0,4.333333333,2.333333333,0.553333333,0.333333333,1,1,1,5,3,2,1,0,0,0,0,2,0.666666667,0,0,1.666666667,0.666666667,0,0.333333333,0,0,0,2,0.666666667,0.416666667,0.333333333,0,0,0,2,0.666666667,3,49,2,0,0,0,1,1,2,177.8,-2.54,199,0,3,1.4,1.4,1.8,1.8,2.6,1,4.6,2.8,5,3,0,2.6,1.2,1.2,0.4,9,5.6,0.448,0.6,0.8,0.6,0.6,52.4,46.2,3,1,0.6,0.6,1.4,1,1,0.4,1.8,1.4,3.2,2,0,0.4,0.2,0.4,0.2,4.2,2.8,0.382,0.6,1.8,0.8,0.366,9.2,7.8,5,379.4,1,0,0,1,0,3,4,180.34,199,29,24,0,0,0,0,1,0,1,0,0
Red,0,TRUE,1,2,middleweight,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,8,5,7,4,0,0,0,2,0,8,5,0.62,1,1,1,1,15,11,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,8,5,1,91,0,0,0,0,0,1,1,182.88,5.08,185,0,1,1,0,1,0,2,0,3,3,4,3,0,1,0,1,0,6,3,0.5,0,1,1,1,7,4,1,0,0,0,0,0,4,1,0,0,4,1,0,0,0,0,0,4,1,0.25,0,0,0,0,4,1,1,87,0,0,0,0,1,0,1,177.8,199,26,30,0,1,0,0,0,0,0,0,1
