fighter_name,Height,Weight,Reach,Stance,DOB
Alex Da Silva,"5' 8""",155 lbs.,"73""",Orthodox,4-Feb-96
Alex Dunworth,"5' 8""",155 lbs.,,,
Alex Enlund,"5' 10""",145 lbs.,"73""",Orthodox,27-May-87
Alex Garcia,"5' 9""",170 lbs.,"72""",Orthodox,14-Jul-87
Alex Gilpin,"5' 7""",145 lbs.,"72""",Orthodox,26-Mar-92
Alex Gorgees,"6' 2""",155 lbs.,"74""",Switch,11-Aug-95
Alex Higley,"5' 10""",145 lbs.,,,
Alex Huddleston,"6' 7""",254 lbs.,,,11-Aug-86
Alex Hunter,"5' 9""",226 lbs.,,Orthodox,
Alex Karalexis,"5' 8""",155 lbs.,"66""",Orthodox,20-Sep-77
Alex Morono,"5' 11""",170 lbs.,"72""",Orthodox,16-Aug-90
Alex Nicholson,"6' 4""",185 lbs.,"81""",Orthodox,2-May-90
Alex Oliveira,"5' 11""",170 lbs.,"76""",Orthodox,21-Feb-88
Alex Perez,"5' 6""",135 lbs.,"65""",Orthodox,21-Mar-92
Alex Reyes,"5' 11""",170 lbs.,"73""",Orthodox,2-Oct-86
Alex Schoenauer,"6' 3""",185 lbs.,,Orthodox,5-May-76
Alex Serdyukov,"6' 2""",170 lbs.,"74""",Orthodox,24-May-80
Alex Soto,"5' 8""",135 lbs.,"71""",Southpaw,15-Feb-84
Alex Stiebling,"6' 2""",205 lbs.,,Southpaw,
Alex Torres,"5' 10""",145 lbs.,"70""",Orthodox,29-May-88
Alex White,"6' 0""",155 lbs.,"71""",Southpaw,22-Oct-88
Alex Zuniga,,145 lbs.,,,
Alexa Grasso,"5' 5""",115 lbs.,"66""",Orthodox,9-Aug-93
Alexander Crispim,,145 lbs.,,,
Alexander Gustafsson,"6' 5""",205 lbs.,"79""",Orthodox,15-Jan-87
Alexander Hernandez,"5' 9""",155 lbs.,"72""",Orthodox,1-Oct-92
Alexander Munoz,"5' 9""",155 lbs.,,Switch,27-Feb-90
