fighter_name,Height,Weight,Reach,Stance,DOB
Brandon Saling,"5' 10""",170 lbs.,,,28-Jan-86
Brandon Sene,"5' 11""",205 lbs.,,,21-May-81
Brandon Shuey,"5' 7""",155 lbs.,,Orthodox,1-Feb-76
Brandon Thatch,"6' 2""",170 lbs.,"74""",Switch,11-Jul-85
Brandon Vera,"6' 3""",230 lbs.,"76""",Orthodox,10-Oct-77
Brandon Visher,"5' 6""",135 lbs.,"68""",Orthodox,6-May-84
Brandon Wolff,"5' 9""",170 lbs.,,Orthodox,18-Oct-75
Branko Cikatic,"6' 1""",215 lbs.,,Orthodox,3-Oct-54
Brendan Allen,"6' 2""",185 lbs.,,,
Brendan Loughnane,"5' 10""",145 lbs.,"70""",Switch,5-Dec-89
Brendan O'Reilly,"5' 7""",170 lbs.,"69""",Orthodox,24-Jun-87
Brendan Schaub,"6' 4""",245 lbs.,"78""",Orthodox,18-Mar-83
Brendan Seguin,"6' 0""",185 lbs.,,,3-Jul-76
Brennan Ward,"5' 10""",170 lbs.,,,28-Jun-88
Brent Primus,"5' 10""",155 lbs.,,,12-Apr-85
Bret Bergmark,"5' 9""",170 lbs.,,,24-Nov-73
Brett Albee,,225 lbs.,,,
Brett Cooper,"6' 0""",170 lbs.,,Orthodox,2-Jul-87
Brett Johns,"5' 7""",135 lbs.,"71""",Orthodox,21-Feb-92
Brett Rogers,"6' 5""",265 lbs.,"81""",Orthodox,17-Feb-81
Brett Tillis,,145 lbs.,,,
Brian Bowles,"5' 7""",135 lbs.,"70""",Orthodox,22-Jun-80
Brian Camozzi,"6' 2""",170 lbs.,"78""",Orthodox,24-Jun-91
Brian Cobb,"5' 11""",155 lbs.,,Orthodox,
Brian Davidson,"5' 6""",145 lbs.,,,
Brian Ebersole,"6' 0""",170 lbs.,"73""",Southpaw,27-Nov-80
Brian Foster,"5' 9""",170 lbs.,"71""",Orthodox,3-Apr-84
Brian Gassaway,"6' 1""",170 lbs.,,Orthodox,7-Aug-72
Brian Geraghty,"5' 7""",155 lbs.,,Orthodox,4-Nov-80
Brian Houston,"6' 2""",185 lbs.,"78""",Orthodox,26-Apr-81
Brian Johnston,"6' 3""",230 lbs.,,Orthodox,
Brian Kelleher,"5' 6""",135 lbs.,"66""",Switch,19-Aug-86
Brian Lo-A-Njoe,"5' 7""",155 lbs.,,Orthodox,
Brian McLaughlin,"5' 9""",155 lbs.,,,12-May-84
Brian Melancon,"5' 8""",170 lbs.,"72""",Orthodox,28-May-82
Brian Ortega,"5' 8""",145 lbs.,"69""",Switch,21-Feb-91
Brian Rogers,"5' 11""",185 lbs.,,,15-Feb-84
Brian Schwartz,"6' 3""",170 lbs.,,Orthodox,
Brian Sleeman,"5' 8""",185 lbs.,,,
Brian Stann,"6' 1""",205 lbs.,"74""",Orthodox,24-Sep-80
Brian Warren,"6' 0""",185 lbs.,,Orthodox,
Brianna Van Buren,"4' 11""",115 lbs.,,,4-Aug-93
Bristol Marunde,"6' 1""",170 lbs.,"71""",Orthodox,20-Apr-82
Brock Jardine,"5' 11""",170 lbs.,"73""",Orthodox,10-Jul-85
Brock Larson,"5' 11""",170 lbs.,"71""",Southpaw,23-Aug-77
Brock Lesnar,"6' 3""",265 lbs.,"81""",Orthodox,12-Jul-77
Brodie Farber,"6' 1""",170 lbs.,,Orthodox,5-Jul-80
Brok Weaver,"6' 0""",170 lbs.,"73""",Southpaw,5-Dec-91
Bronson Mohika,,135 lbs.,,,
Brooke Mayo,"5' 7""",125 lbs.,,,
Bruno Assis,"6' 2""",185 lbs.,,Orthodox,23-May-92
Bruno Carvalho,"5' 8""",154 lbs.,,,7-Jun-82
Bruno Korea,"5' 6""",135 lbs.,"65""",,28-Jun-91
Bruno Santos,"5' 9""",185 lbs.,"69""",Orthodox,17-Jul-87
Bruno Silva,"6' 0""",185 lbs.,,,13-Jul-89
Bryan Baker,"6' 3""",185 lbs.,,Orthodox,13-Oct-85
Bryan Barberena,"6' 0""",170 lbs.,"72""",Southpaw,3-May-89
Bryan Caraway,"5' 8""",135 lbs.,"68""",Orthodox,4-Aug-84
Bryan Humes,,265 lbs.,,,
Bryan Pardoe,"6' 1""",205 lbs.,,Orthodox,
Bryan Travers,,155 lbs.,,,11-Apr-83
Bryan Vetell,"6' 3""",265 lbs.,,Southpaw,26-Jul-77
Bryanna Fissori,"5' 4""",145 lbs.,,,
Bryce Mejia,"6' 1""",170 lbs.,,,
Bryce Mitchell,"5' 10""",145 lbs.,,Southpaw,4-Oct-94
Bryson Kamaka,"5' 11""",170 lbs.,,Orthodox,
Bu-Kyung Jung,"5' 7""",154 lbs.,,Orthodox,26-May-78
Bubba Bush,"6' 0""",185 lbs.,"73""",Orthodox,24-Jul-85
Bubba Jenkins,"5' 7""",145 lbs.,,,5-Feb-88
Bubba McDaniel,"6' 3""",185 lbs.,"75""",Southpaw,3-May-83
Bubba Pugh,"5' 10""",185 lbs.,,,
Buck Meredith,"6' 2""",185 lbs.,,,17-May-82
Buddy Roberts,"6' 2""",185 lbs.,,Orthodox,17-Oct-82
Byron Bloodworth,"5' 8""",135 lbs.,"69""",Orthodox,16-Aug-83
CB Dollaway,"6' 2""",185 lbs.,"76""",Orthodox,10-Aug-83
CJ Fernandes,"6' 2""",170 lbs.,,,13-Nov-77
CJ Hamilton,"5' 7""",125 lbs.,"68""",Switch,7-Oct-86
CJ Keith,"6' 0""",155 lbs.,,Orthodox,9-Aug-86
CJ Marsh,,,,,
CM Punk,"6' 1""",170 lbs.,"73""",Orthodox,26-Oct-78
Cain Carrizosa,"5' 8""",155 lbs.,"74""",Orthodox,22-Jul-86
Cain Velasquez,"6' 1""",240 lbs.,"77""",Orthodox,28-Jul-82
Caio Magalhaes,"6' 1""",185 lbs.,"73""",Orthodox,14-Dec-87
Cal Worsham,"5' 11""",230 lbs.,,Orthodox,
Cale Yarbrough,"6' 1""",185 lbs.,,Orthodox,27-Dec-86
Callan Potter,"6' 0""",155 lbs.,"72""",Orthodox,9-Jun-84
Calvin Kattar,"5' 11""",145 lbs.,"72""",Orthodox,26-Mar-88
Cameron Dollar,"5' 11""",155 lbs.,,Orthodox,12-May-87
Cameron Olson,"6' 1""",205 lbs.,"75""",Orthodox,22-Nov-89
Canaan Kawaihae,"6' 0""",145 lbs.,,Southpaw,26-Aug-97
Caol Uno,"5' 7""",155 lbs.,"70""",Southpaw,8-May-75
Carina Damm,"5' 4""",135 lbs.,,,
Carl Malenko,"5' 11""",200 lbs.,,Orthodox,
Carl Seumanutafa,"6' 1""",255 lbs.,,Orthodox,
Carl Toomey,,,,,
Carla Esparza,"5' 1""",115 lbs.,"63""",,10-Oct-87
Carlo Pedersoli,"5' 11""",170 lbs.,"75""",Southpaw,8-Jun-93
Carlo Prater,"5' 11""",155 lbs.,"72""",Switch,25-Jun-81
Carlos Barreto,"6' 4""",230 lbs.,,Orthodox,
Carlos Candelario,"5' 8""",125 lbs.,"67""",Southpaw,4-Jun-91
Carlos Condit,"6' 2""",170 lbs.,"75""",Orthodox,26-Apr-84
Carlos Eduardo Rocha,"5' 10""",170 lbs.,"70""",Orthodox,12-Jul-81
Carlos Felipe,"6' 0""",245 lbs.,,,12-Jan-95
Carlos Huachin,"5' 4""",135 lbs.,"67""",Southpaw,4-Jun-96
Carlos Newton,"5' 9""",170 lbs.,,Orthodox,17-Aug-76
Carlos Zevallos,"6' 0""",205 lbs.,,Orthodox,
Carls John De Tomas,"5' 5""",125 lbs.,"71""",Southpaw,28-Aug-96
Carlton Jones,"6' 1""",225 lbs.,,Orthodox,
Carmelo Marrero,"6' 0""",205 lbs.,"73""",Orthodox,26-Jan-81
Caros Fodor,"5' 9""",155 lbs.,"76""",Orthodox,7-Jan-84
Carter Williams,"6' 1""",265 lbs.,,Orthodox,
Casey Huffman,"6' 3""",185 lbs.,,,
Casey Kenney,"5' 7""",135 lbs.,"68""",Southpaw,20-Mar-91
Casey Olson,"5' 7""",145 lbs.,,Orthodox,
Cat Zingano,"5' 6""",145 lbs.,"68""",Southpaw,1-Jul-82
Cathal Pendred,"6' 1""",170 lbs.,"75""",Orthodox,2-Sep-87
Cesar Arzamendia,"5' 11""",155 lbs.,"71""",,31-Jan-91
Cesar Gracie,"5' 10""",181 lbs.,,Orthodox,
Cesar Marscucci,,,,,
Cezar Ferreira,"6' 1""",185 lbs.,"78""",Southpaw,15-Feb-85
Chad Cook,"6' 2""",205 lbs.,,,7-Nov-79
Chad Corvin,"6' 5""",255 lbs.,,,
Chad George,"5' 6""",135 lbs.,"68""",Southpaw,30-Apr-82
Chad Griggs,"6' 1""",205 lbs.,"73""",Orthodox,15-May-78
Chad Laprise,"5' 10""",170 lbs.,"71""",Orthodox,23-Jul-86
Chad Leonhardt,"6' 0""",170 lbs.,,,19-Feb-80
Chad Mendes,"5' 6""",145 lbs.,"66""",Orthodox,1-May-85
Chad Reiner,"5' 11""",170 lbs.,,Orthodox,29-Jun-81
Chad Robichaux,"5' 4""",135 lbs.,,,18-Aug-75
Chad Sutton,"6' 1""",185 lbs.,,,7-Aug-82
Chad Vance,"6' 0""",185 lbs.,,Orthodox,
Chad W. Saunders,"5' 10""",170 lbs.,,Orthodox,
Chael Sonnen,"6' 1""",205 lbs.,"74""",Southpaw,3-Apr-77
Chalid Arrab,"5' 11""",205 lbs.,,Orthodox,28-May-75
Chan Sung Jung,"5' 7""",145 lbs.,"72""",Orthodox,17-Mar-87
Chance Farrar,"5' 9""",145 lbs.,,Southpaw,11-Sep-75
Chance Rencountre,"6' 2""",170 lbs.,"75""",Southpaw,31-Dec-86
Chanmi Jeon,"5' 5""",115 lbs.,"67""",Orthodox,28-Aug-97
Charlene Gellner,"5' 2""",125 lbs.,,,
Charles Bennett,"5' 8""",155 lbs.,,Orthodox,23-Nov-79
Charles Byrd,"5' 10""",185 lbs.,"73""",Orthodox,11-Oct-83
Charles Jourdain,"5' 9""",155 lbs.,"69""",Switch,27-Nov-95
Charles McCarthy,"5' 10""",185 lbs.,"71""",Orthodox,6-Aug-80
Charles McTorry,,,,,
Charles Oliveira,"5' 10""",155 lbs.,"74""",Orthodox,17-Oct-89
Charles Rosa,"5' 9""",145 lbs.,"69""",Switch,24-Aug-86
Charlie Brenneman,"5' 10""",155 lbs.,"72""",Orthodox,9-Feb-81
Charlie Kohler,"5' 9""",155 lbs.,,Orthodox,16-Jul-76
Charlie Ontiveros,"6' 2""",170 lbs.,,,4-Jul-91
Charlie Valencia,"5' 3""",135 lbs.,"64""",Orthodox,31-Oct-74
Charlie Ward,"5' 11""",170 lbs.,"73""",Orthodox,17-Dec-80
Charon Spain,"5' 9""",155 lbs.,,,11-Mar-88
Chas Skelly,"5' 11""",145 lbs.,"72""",Orthodox,11-May-85
Chase Beebe,"5' 7""",135 lbs.,"67""",Orthodox,29-Mar-85
Chase Gormley,"6' 3""",265 lbs.,,Orthodox,
Chase Hooper,"6' 1""",145 lbs.,,Southpaw,13-Sep-99
Chase Sherman,"6' 4""",250 lbs.,"78""",Orthodox,16-Nov-89
Chase Waldon,"6' 1""",185 lbs.,"75""",Orthodox,19-Sep-86
Chatt Lavender,"5' 8""",170 lbs.,,,24-May-76
Che Mills,"6' 1""",170 lbs.,"76""",Orthodox,29-Sep-82
Cheick Kongo,"6' 4""",240 lbs.,"82""",Orthodox,17-May-75
Chel Erwin-Davis,"6' 0""",170 lbs.,,,
Cheyden Leialoha,"5' 8""",135 lbs.,"73""",Orthodox,15-Mar-94
Chibwikem Onyenegecha-Palmer,"6' 3""",185 lbs.,"76""",Orthodox,18-Apr-94
Chico Camus,"5' 6""",125 lbs.,"66""",Orthodox,26-Jan-85
Chidi Njokuani,"6' 3""",170 lbs.,,,31-Dec-88
Chris Amarante,,185 lbs.,,,
Chris Avila,"5' 10""",145 lbs.,"72""",Orthodox,16-Jan-93
Chris Barnhizer,,,,,
Chris Beal,"5' 7""",125 lbs.,"69""",Orthodox,6-Aug-85
Chris Birchler,"6' 3""",205 lbs.,"79""",Switch,5-Jun-87
Chris Bostick,,,,,
Chris Brennan,"5' 8""",170 lbs.,,Orthodox,12-Oct-71
Chris Brown,,170 lbs.,,,
Chris Camozzi,"6' 2""",185 lbs.,"76""",Orthodox,20-Nov-86
Chris Cariaso,"5' 3""",125 lbs.,"63""",Southpaw,27-May-81
Chris Clements,"5' 10""",170 lbs.,"70""",Orthodox,9-Feb-76
Chris Coggins,,,,,
Chris Condo,"6' 0""",335 lbs.,,Orthodox,
Chris Cope,"6' 0""",170 lbs.,"72""",Orthodox,5-Mar-83
Chris Culley,,145 lbs.,,,25-Mar-86
Chris Curtis,"5' 10""",170 lbs.,,Orthodox,15-Jul-87
Chris Dempsey,"5' 10""",185 lbs.,"72""",Orthodox,8-Sep-87
Chris Drumm,"5' 8""",145 lbs.,,,
Chris Fishgold,"5' 8""",145 lbs.,"68""",Orthodox,6-Jun-92
Chris Gruetzemacher,"5' 8""",155 lbs.,"68""",Orthodox,16-Jun-86
Chris Guillen,"6' 0""",240 lbs.,,Orthodox,9-Dec-72
Chris Gutierrez,"5' 9""",135 lbs.,"69""",Orthodox,22-Apr-91
Chris Haseman,"5' 11""",205 lbs.,,Orthodox,2-Jun-69
Chris Hawk,"6' 1""",205 lbs.,,,
Chris Heatherly,"5' 9""",155 lbs.,"68""",Orthodox,24-Nov-87
Chris Herrera,"5' 10""",185 lbs.,,,
Chris Holdsworth,"5' 11""",135 lbs.,"71""",,24-Oct-87
Chris Honeycutt,"5' 10""",170 lbs.,,,25-Jul-88
Chris Horodecki,"5' 9""",155 lbs.,"69""",Orthodox,24-Sep-87
Chris Indich,"5' 10""",170 lbs.,"73""",,22-Apr-87
Chris Inman,,,,,
Chris Jones,"5' 9""",149 lbs.,,,16-Nov-81
Chris Kelades,"5' 7""",125 lbs.,"68""",Orthodox,21-Feb-81
Chris Leben,"5' 11""",185 lbs.,"74""",Southpaw,21-Jul-80
Chris Liguori,"5' 9""",185 lbs.,,Orthodox,
Chris Lytle,"5' 11""",170 lbs.,"68""",Orthodox,18-Aug-74
Chris Manuel,"5' 9""",135 lbs.,,Orthodox,21-Jul-87
Chris Mickle,"5' 9""",145 lbs.,,Orthodox,10-Jul-83
Chris Mierzwiak,"6' 1""",185 lbs.,,,14-Feb-88
Chris Price,"6' 2""",185 lbs.,,Southpaw,9-Nov-82
Chris Sanford,"5' 11""",185 lbs.,,Orthodox,12-Mar-68
Chris Saunders,"5' 8""",155 lbs.,,,11-Mar-86
Chris Solomon,"5' 11""",155 lbs.,,,
Chris Spang,"6' 2""",170 lbs.,,Orthodox,26-Nov-87
Chris Tickle,"5' 9""",155 lbs.,,,1-Feb-82
Chris Tuchscherer,"6' 2""",258 lbs.,"76""",Orthodox,8-Sep-75
Chris Wade,"5' 10""",155 lbs.,"70""",Orthodox,30-Sep-87
Chris Weidman,"6' 2""",185 lbs.,"78""",Orthodox,17-Jun-84
Chris Wilson,"6' 1""",170 lbs.,"75""",Orthodox,7-Jun-77
Chris Wright,,,,,
Chris Yee,"5' 9""",185 lbs.,,,
Chris de la Rocha,"6' 3""",250 lbs.,"80""",Orthodox,15-May-79
Christian Colombo,"6' 5""",265 lbs.,"80""",Orthodox,1-Jul-80
Christian Lohsen,"6' 2""",155 lbs.,,,24-Jan-95
Christian Morecraft,"6' 6""",260 lbs.,"81""",Orthodox,8-Sep-86
Christian Ocon,"5' 8""",135 lbs.,"69""",Orthodox,5-Feb-96
Christian Uflacker,"5' 11""",170 lbs.,,,4-Aug-85
Christian Wellisch,"6' 2""",234 lbs.,"77""",Orthodox,13-Sep-75
Christina Marks,"5' 7""",125 lbs.,"69""",Orthodox,8-Nov-85
Christophe Leninger,"6' 0""",200 lbs.,,Southpaw,
Christopher Lopez,"5' 10""",170 lbs.,,,30-Jan-86
Christos Giagos,"5' 10""",155 lbs.,"71""",Orthodox,23-Jan-90
Chuck Grigsby,"6' 6""",205 lbs.,,Orthodox,
Chuck Liddell,"6' 2""",205 lbs.,"76""",Orthodox,17-Dec-69
Chuck O'Neil,"6' 2""",170 lbs.,,,22-Sep-85
Cindy Dandois,"5' 7""",135 lbs.,"68""",Orthodox,26-Oct-84
Ciryl Gane,"6' 5""",265 lbs.,,,6-May-90
Claude Patrick,"5' 11""",170 lbs.,"75""",Orthodox,14-Jun-80
Claudia Gadelha,"5' 4""",115 lbs.,"63""",Orthodox,7-Dec-88
Claudio Mattos,,185 lbs.,,Orthodox,
Claudio Puelles,"5' 11""",155 lbs.,"72""",Southpaw,21-Apr-96
Claudio Silva,"5' 11""",170 lbs.,"71""",Southpaw,6-Sep-82
Claudionor Fontinelle,"5' 5""",185 lbs.,,Orthodox,
Clay Collard,"5' 11""",145 lbs.,"73""",Orthodox,10-Mar-93
Clay French,"5' 7""",161 lbs.,,Southpaw,7-Oct-80
Clay Guida,"5' 7""",155 lbs.,"70""",Orthodox,8-Dec-81
Clay Harvison,"6' 1""",170 lbs.,"74""",,25-Sep-80
Clay Mitchell,"6' 2""",185 lbs.,,,
Clayton MacFarlane,,170 lbs.,,,
Cleber Luciano,"5' 6""",155 lbs.,,,
Clifford Starks,"6' 0""",185 lbs.,"77""",Orthodox,25-Apr-81
Clint Coronel,,155 lbs.,,,
Clint Godfrey,"5' 6""",135 lbs.,,Southpaw,21-Oct-82
Clint Hester,"6' 2""",205 lbs.,"77""",Orthodox,21-Nov-86
Codale Ford,"5' 9""",170 lbs.,,,13-May-79
Cody Canterbury,"5' 8""",155 lbs.,,,
Cody Carrillo,"5' 10""",155 lbs.,,,
Cody Donovan,"6' 3""",205 lbs.,"74""",Orthodox,20-Feb-81
Cody East,"6' 3""",245 lbs.,"74""",Orthodox,29-Jun-88
Cody Floyd,,,,,18-Jul-88
Cody Garbrandt,"5' 8""",135 lbs.,"65""",Orthodox,7-Jul-91
Cody Gibson,"5' 10""",135 lbs.,"71""",Orthodox,11-Sep-87
Cody McKenzie,"6' 0""",155 lbs.,"72""",Switch,16-Dec-87
Cody Pfister,"5' 10""",155 lbs.,"73""",Orthodox,12-Jul-90
Cody Sons,"5' 9""",205 lbs.,,,
Cody Stamann,"5' 6""",135 lbs.,"64""",Orthodox,9-Nov-89
Colby Covington,"5' 11""",170 lbs.,"72""",Orthodox,22-Feb-88
Cole Escovedo,"5' 7""",135 lbs.,"72""",Orthodox,30-Aug-81
Cole Miller,"6' 1""",145 lbs.,"74""",Orthodox,26-Apr-84
Cole Province,"5' 9""",145 lbs.,"68""",Orthodox,17-Jan-81
Cole Smith,"5' 11""",135 lbs.,"67""",Orthodox,5-Apr-89
Colin Fletcher,"6' 2""",155 lbs.,"78""",Orthodox,8-Jan-83
Colin Robinson,"6' 4""",243 lbs.,,Orthodox,27-Nov-68
Colleen Schneider,,135 lbs.,,,
Colley  Bradford,"5' 7""",145 lbs.,,,
Collin Hart,"6' 1""",185 lbs.,"76""",Orthodox,12-Oct-89
Coltin Cole,,185 lbs.,,,24-Apr-89
Colton Smith,"6' 0""",155 lbs.,"71""",Orthodox,14-Aug-87
Conor Heun,"5' 10""",155 lbs.,,Orthodox,11-Feb-79
Conor McGregor,"5' 9""",155 lbs.,"74""",Southpaw,14-Jul-88
Corey Anderson,"6' 3""",205 lbs.,"79""",Orthodox,22-Sep-89
Corey Hill,"6' 4""",155 lbs.,"80""",Orthodox,3-Oct-78
Cortez Coleman,"6' 1""",185 lbs.,,,28-Jan-82
Cortney Casey,"5' 7""",115 lbs.,"67""",Orthodox,5-May-87
Cory Devela,"5' 0""",185 lbs.,,Orthodox,
Cory Hendricks,"6' 3""",205 lbs.,,,10-May-88
Cory Peterson,"6' 11""",400 lbs.,,Orthodox,
Cory Sandhagen,"5' 11""",135 lbs.,"70""",Switch,20-Apr-92
Cory Walmsley,"6' 0""",205 lbs.,,Orthodox,
Costas Philippou,"5' 11""",185 lbs.,"73""",Orthodox,29-Nov-79
Coty Wheeler,"5' 6""",135 lbs.,"67""",Orthodox,11-Oct-78
Court McGee,"5' 11""",170 lbs.,"75""",Orthodox,12-Dec-84
Courtney Buck,"5' 10""",135 lbs.,,Orthodox,19-Mar-82
Courtney Turner,"6' 2""",170 lbs.,,,
Crafton Wallace,"6' 0""",185 lbs.,,Orthodox,10-Nov-75
Craig Oxley,"5' 9""",155 lbs.,,,14-Feb-73
Craig White,"6' 2""",170 lbs.,"76""",Orthodox,1-Jul-90
Craig Zellner,"6' 2""",205 lbs.,,Orthodox,9-Sep-76
Crezio de Souza,,170 lbs.,,Orthodox,
Cris Cyborg,"5' 8""",145 lbs.,"68""",Orthodox,9-Jul-85
Cristiano Marcello,"5' 9""",155 lbs.,"72""",Orthodox,3-Dec-77
Cristina Stanciu,"5' 3""",115 lbs.,"64""",Orthodox,29-Mar-94
Crosley Gracie,"5' 9""",190 lbs.,,Orthodox,18-Jul-79
Cub Swanson,"5' 8""",145 lbs.,"70""",Orthodox,2-Nov-83
Cung Le,"5' 9""",185 lbs.,"69""",Southpaw,25-May-72
Curt Warburton,"6' 0""",155 lbs.,"73""",Orthodox,
Curtis Blaydes,"6' 4""",265 lbs.,"80""",Orthodox,18-Feb-91
Curtis Millender,"6' 2""",170 lbs.,"76""",Orthodox,1-Dec-87
Curtis Stout,"6' 1""",185 lbs.,,Southpaw,7-Nov-73
Cynthia Calvillo,"5' 4""",115 lbs.,"64""",Orthodox,13-Jul-87
Cyril Asker,"6' 0""",247 lbs.,"74""",Orthodox,24-Dec-85
Cyrille Diabate,"6' 6""",205 lbs.,"81""",Southpaw,6-Oct-73
Cyrillo Padilha,"5' 11""",155 lbs.,,,23-Jan-78
Da Un Jung,"6' 3""",205 lbs.,,,11-Feb-88
DaMarques Johnson,"6' 1""",170 lbs.,"75""",Orthodox,28-Jun-82
Dae Won Kim,"5' 11""",180 lbs.,,Orthodox,
Daichi Abe,"5' 11""",170 lbs.,"71""",Orthodox,27-Nov-91
Daijiro Matsui,"5' 9""",200 lbs.,,Orthodox,5-Dec-72
Daiju Takase,"6' 0""",170 lbs.,,Southpaw,20-Apr-78
Daiki Hata,"5' 6""",139 lbs.,,Orthodox,24-Aug-82
Daisuke Nakamura,"5' 7""",154 lbs.,,Orthodox,10-Jun-80
Daisuke Sugie,"5' 6""",160 lbs.,,Orthodox,
Dakota Cochrane,"5' 8""",155 lbs.,,,1-May-86
Dalcha Lungiambula,"5' 10""",205 lbs.,,,
Dale Hartt,"5' 10""",155 lbs.,"69""",Orthodox,4-Apr-79
Damacio Page,"5' 6""",135 lbs.,"66""",Orthodox,30-Sep-82
Damian Grabowski,"6' 1""",241 lbs.,"75""",Orthodox,12-May-80
Damian Stasiak,"5' 5""",135 lbs.,"70""",Orthodox,20-Feb-90
Damien Brown,"5' 10""",155 lbs.,"68""",Orthodox,25-Dec-84
Damien Trites,"5' 11""",165 lbs.,,,23-Aug-79
Damion Douglas,,170 lbs.,,,
Damir Hadzovic,"5' 9""",155 lbs.,"70""",Orthodox,8-Aug-86
Damir Ismagulov,"5' 10""",155 lbs.,,Orthodox,3-Feb-91
Damir Mirenic,"6' 0""",185 lbs.,,Orthodox,2-Aug-74
Damon Jackson,"5' 11""",145 lbs.,"71""",Switch,8-Aug-88
Dan Barrera,"5' 9""",170 lbs.,,Orthodox,23-Dec-80
Dan Bobish,"6' 2""",345 lbs.,,Southpaw,26-Jan-70
Dan Charles,"6' 2""",228 lbs.,,,24-Sep-85
Dan Christison,"6' 8""",265 lbs.,,Orthodox,26-Apr-72
Dan Cramer,"6' 2""",170 lbs.,,Orthodox,31-Oct-85
Dan Evensen,"6' 3""",250 lbs.,,Orthodox,1-Jun-74
Dan Hardy,"6' 0""",170 lbs.,"74""",Orthodox,17-May-82
Dan Henderson,"5' 11""",185 lbs.,"74""",Orthodox,24-Aug-70
Dan Hooker,"6' 0""",155 lbs.,"75""",Switch,13-Feb-90
Dan Ige,"5' 7""",145 lbs.,"71""",Orthodox,6-Aug-91
Dan Lauzon,"5' 10""",155 lbs.,,Orthodox,30-Mar-88
Dan Miller,"6' 1""",185 lbs.,"74""",Orthodox,30-Jun-81
Dan Moret,"6' 0""",155 lbs.,"73""",Southpaw,21-Nov-86
Dan O'Connor,"5' 4""",115 lbs.,,,17-Nov-82
Dan Severn,"6' 2""",250 lbs.,,Southpaw,8-Jun-58
Dan Stittgen,"6' 1""",170 lbs.,,Orthodox,17-Nov-80
Daniel Acacio,"5' 8""",180 lbs.,,Orthodox,27-Dec-77
Daniel Cormier,"5' 11""",235 lbs.,"72""",Orthodox,20-Mar-79
Daniel Gallemore,"6' 5""",265 lbs.,,,
Daniel Gracie,"6' 2""",225 lbs.,,Orthodox,
Daniel Jolly,"6' 1""",205 lbs.,"75""",Orthodox,3-Sep-84
Daniel Kelly,"6' 0""",185 lbs.,"70""",Southpaw,31-Oct-77
Daniel McWilliams,"6' 1""",185 lbs.,,,
Daniel Omielanczuk,"6' 0""",247 lbs.,"74""",Southpaw,31-Aug-82
Daniel Pineda,"5' 7""",145 lbs.,"69""",Orthodox,6-Aug-85
Daniel Puder,"6' 3""",235 lbs.,,Orthodox,9-Oct-81
Daniel Roberts,"5' 10""",170 lbs.,"74""",Southpaw,5-Aug-80
Daniel Rodriguez,"6' 0""",155 lbs.,,,31-Dec-86
Daniel Sarafian,"5' 9""",185 lbs.,"73""",Orthodox,21-Aug-82
Daniel Schmitt,,185 lbs.,,,
Daniel Spitz,"6' 7""",245 lbs.,"82""",Orthodox,31-Jul-90
Daniel Spohn,"6' 4""",205 lbs.,"79""",Southpaw,12-Oct-84
Daniel Straus,"5' 7""",145 lbs.,,,27-Jul-84
Daniel Teymur,"5' 5""",145 lbs.,"69""",Orthodox,3-Feb-88
Daniel Weichel,"5' 10""",145 lbs.,,,22-Nov-84
Danielle Taylor,"5' 0""",115 lbs.,"60""",Orthodox,25-Oct-89
Danillo Villefort,"6' 1""",185 lbs.,,Orthodox,8-May-83
Danilo Belluardo,"6' 0""",155 lbs.,"74""",Southpaw,21-Jul-94
Danny Abbadi,"5' 11""",155 lbs.,,Orthodox,3-Jul-83
Danny Castillo,"5' 9""",155 lbs.,"71""",Orthodox,25-Aug-79
Danny Davis,"6' 2""",170 lbs.,,,28-Jul-82
Danny Downes,"6' 0""",155 lbs.,"72""",Orthodox,8-Apr-86
Danny Henry,"6' 0""",145 lbs.,"73""",Orthodox,17-Jul-88
Danny Martinez,"5' 6""",125 lbs.,"67""",Orthodox,14-Jun-85
Danny Mitchell,"6' 2""",170 lbs.,"74""",Orthodox,8-Aug-86
Danny Navarro,"5' 10""",155 lbs.,,,27-May-83
Danny Roberts,"6' 1""",170 lbs.,"74""",Southpaw,14-Jul-87
Dante Rivera,"6' 1""",185 lbs.,,Southpaw,8-Dec-74
Darko Stosic,"6' 0""",205 lbs.,"76""",Orthodox,9-Feb-92
Daron Cruickshank,"5' 8""",155 lbs.,"72""",Switch,11-Jun-85
Darrel Gholar,"5' 8""",194 lbs.,,Orthodox,
Darrell Horcher,"5' 10""",155 lbs.,"70""",Southpaw,28-Jul-87
Darrell Montague,"5' 6""",125 lbs.,"67""",Southpaw,3-Nov-87
Darren Elkins,"5' 10""",145 lbs.,"71""",Orthodox,16-May-84
Darren Stewart,"6' 0""",185 lbs.,"74""",Orthodox,30-Dec-90
Darren Till,"6' 0""",170 lbs.,"74""",Southpaw,24-Dec-92
Darren Uyenoyama,"5' 6""",125 lbs.,"64""",Orthodox,15-Oct-79
Darrill Schoonover,"6' 2""",220 lbs.,,Orthodox,18-Jul-85
Darrion Caldwell,"5' 10""",135 lbs.,,,19-Dec-87
Darryl Cobb,"5' 9""",185 lbs.,,,4-Aug-80
Dashawn Boatwright,"6' 0""",205 lbs.,,Orthodox,29-Feb-88
Dashon Johnson,"5' 7""",145 lbs.,"70""",Orthodox,25-Jan-88
